date,home_team,away_team,winner
2004-02-11,Tunisia,Nigeria,Tunisia
1995-01-10,Denmark,Mexico,Denmark
2000-10-28,Kenya,Uganda,Uganda
1995-02-26,Japan,South Korea,Japan
1973-06-14,Guinea,Mali,Guinea
2015-02-07,Equatorial Guinea,DR Congo,DR Congo
2000-02-19,United States,Colombia,Colombia
2015-10-13,El Salvador,Guatemala,Guatemala
2022-12-06,Morocco,Spain,Morocco
2000-05-11,Senegal,Mali,Senegal
1973-07-28,Myanmar,South Korea,Myanmar
2007-05-26,Malawi,South Africa,South Africa
1989-12-11,Chad,Cameroon,Cameroon
2023-06-17,Guyana,Grenada,Guyana
1992-01-23,Cameroon,Ivory Coast,Ivory Coast
2017-07-16,Thailand,Belarus,Thailand
1999-07-31,Namibia,South Africa,Namibia
2019-07-11,Ivory Coast,Algeria,Algeria
2003-09-26,Algeria,Burkina Faso,Algeria
2006-02-04,Nigeria,Tunisia,Nigeria
2023-07-01,India,Lebanon,India
1996-06-05,Martinique,Suriname,Martinique
2006-06-30,Germany,Argentina,Germany
1972-05-07,South Korea,Iraq,Iraq
2023-07-12,United States,Panama,Panama
1991-07-07,United States,Honduras,United States
2006-02-28,Finland,Kazakhstan,Kazakhstan
1992-08-29,Japan,South Korea,Japan
2019-06-29,Uruguay,Peru,Peru
2009-10-28,Zimbabwe,South Africa,Zimbabwe
1996-05-05,Guyana,Suriname,Suriname
2000-07-14,Libya,Chad,Libya
2021-06-06,Honduras,Costa Rica,Honduras
1977-03-22,Argentina,Iran,Argentina
1984-12-15,Malawi,Zambia,Zambia
1998-01-31,Iran,Chile,Iran
1984-12-19,Central African Republic,Gabon,Gabon
1974-12-18,South Korea,Malaysia,South Korea
1988-03-26,Morocco,Algeria,Algeria
2001-07-13,Guernsey,Ynys Môn,Guernsey
1973-08-25,Algeria,Iraq,Algeria
2005-07-21,Colombia,Panama,Panama
1986-12-17,Chad,Gabon,Chad
2005-02-08,Cyprus,Austria,Cyprus
2014-06-04,Abkhazia,South Ossetia,South Ossetia
1998-06-30,Argentina,England,Argentina
1983-12-15,Ivory Coast,Mali,Ivory Coast
2017-02-01,Burkina Faso,Egypt,Egypt
2002-03-30,Botswana,South Africa,South Africa
1993-05-30,Jamaica,Martinique,Martinique
1992-06-22,Netherlands,Denmark,Denmark
2002-01-06,Martinique,Haiti,Martinique
2019-06-06,South Ossetia,Chameria,South Ossetia
2017-06-10,Northern Cyprus,Padania,Padania
2021-07-16,Senegal,Eswatini,Senegal
2023-06-17,Suriname,Puerto Rico,Puerto Rico
2021-07-06,Italy,Spain,Italy
1979-05-22,Argentina,Netherlands,Argentina
2019-01-21,Australia,Uzbekistan,Australia
2000-03-19,Suriname,Saint Lucia,Suriname
2002-10-23,Kenya,South Africa,Kenya
2004-02-19,Kazakhstan,Armenia,Kazakhstan
1999-08-07,Rwanda,Burundi,Rwanda
2012-06-03,Finland,Latvia,Latvia
2012-02-12,Zambia,Ivory Coast,Zambia
1998-02-27,Burkina Faso,DR Congo,DR Congo
2001-08-18,Zambia,Angola,Angola
2017-06-28,Portugal,Chile,Chile
1986-06-21,Brazil,France,France
2012-11-21,Argentina,Brazil,Brazil
2019-06-07,Lesotho,Zimbabwe,Zimbabwe
2000-05-20,Malawi,Angola,Angola
2000-10-04,United Arab Emirates,South Korea,United Arab Emirates
1995-12-06,Ethiopia,Zanzibar,Zanzibar
2000-07-16,Mozambique,Lesotho,Lesotho
1983-12-18,Mali,Nigeria,Mali
2021-07-11,England,Italy,Italy
2014-06-05,Padania,Abkhazia,Padania
2005-11-16,Australia,Uruguay,Australia
1988-05-28,Canada,Greece,Canada
2019-07-08,Ghana,Tunisia,Tunisia
2021-07-06,Argentina,Colombia,Argentina
2019-01-20,Jordan,Vietnam,Vietnam
1995-07-23,Uruguay,Brazil,Uruguay
2021-07-02,Peru,Paraguay,Peru
2011-01-25,Japan,South Korea,Japan
2007-05-26,Eswatini,Mauritius,Mauritius
1980-07-12,Nigeria,Tunisia,Nigeria
1997-02-07,Russia,Serbia,Russia
2000-12-02,Ethiopia,Rwanda,Ethiopia
1972-05-19,Thailand,Cambodia,Thailand
2018-06-09,Tibet,United Koreans in Japan,United Koreans in Japan
2002-11-19,South Africa,Senegal,Senegal
1991-01-23,Ivory Coast,Cameroon,Ivory Coast
1980-03-19,Algeria,Egypt,Algeria
2015-07-04,Zambia,Namibia,Zambia
1980-11-30,Zambia,Morocco,Morocco
1996-12-12,Croatia,Czech Republic,Croatia
2007-04-29,Mozambique,Zimbabwe,Mozambique
1977-01-09,Tunisia,Morocco,Tunisia
2003-03-07,Benin,Niger,Benin
2004-12-22,Ethiopia,Kenya,Ethiopia
1983-04-24,Mauritius,Ethiopia,Ethiopia
2022-12-09,Netherlands,Argentina,Argentina
2018-03-22,Thailand,Gabon,Thailand
2004-06-23,Jordan,Syria,Syria
1998-02-21,Ivory Coast,Egypt,Egypt
2018-06-06,Lesotho,Zimbabwe,Zimbabwe
1993-07-01,Colombia,Argentina,Argentina
2021-07-06,Guatemala,Guadeloupe,Guadeloupe
1999-07-10,Paraguay,Uruguay,Uruguay
2017-06-09,Padania,Abkhazia,Padania
1990-06-25,Republic of Ireland,Romania,Republic of Ireland
1992-09-15,Syria,Egypt,Egypt
2022-11-16,Lithuania,Iceland,Iceland
1993-02-24,Argentina,Denmark,Argentina
2022-02-05,Cameroon,Burkina Faso,Cameroon
1995-08-24,Fiji,Solomon Islands,Solomon Islands
1999-08-03,Rwanda,Kenya,Kenya
2001-07-29,Uruguay,Honduras,Honduras
1982-05-15,Thailand,Singapore,Thailand
1995-07-17,Brazil,Argentina,Brazil
2022-11-16,Latvia,Estonia,Latvia
2003-02-04,Uruguay,Iran,Uruguay
1998-01-31,Egypt,South Korea,South Korea
2023-06-18,Croatia,Spain,Spain
2020-10-08,Bosnia and Herzegovina,Northern Ireland,Northern Ireland
2017-07-01,Namibia,Lesotho,Lesotho
2021-06-28,France,Switzerland,Switzerland
1992-11-25,Uganda,Zambia,Uganda
2003-07-09,New Caledonia,Vanuatu,New Caledonia
2003-03-27,Tunisia,Ghana,Tunisia
1996-04-28,Barbados,Jamaica,Jamaica
2007-07-22,Iran,South Korea,South Korea
1999-08-07,Zambia,Mozambique,Zambia
2002-09-07,Syria,Iran,Iran
1994-01-29,Burkina Faso,Guinea,Burkina Faso
2022-01-26,Ivory Coast,Egypt,Egypt
2012-02-05,Gabon,Mali,Mali
2004-12-03,Finland,Oman,Oman
1972-05-17,Thailand,South Korea,South Korea
2014-06-28,Brazil,Chile,Brazil
1993-06-27,Brazil,Argentina,Argentina
1988-03-23,Algeria,Nigeria,Nigeria
2016-06-02,Iraqi Kurdistan,Padania,Padania
1976-06-20,Czechoslovakia,Germany,Czechoslovakia
2007-07-10,Uruguay,Brazil,Brazil
2016-06-05,Abkhazia,Panjab,Abkhazia
1997-06-22,Ecuador,Mexico,Mexico
1984-12-08,Kenya,Somalia,Kenya
2019-06-02,South Africa,Botswana,Botswana
2005-12-10,Zanzibar,Uganda,Zanzibar
2014-05-29,Latvia,Estonia,Latvia
2019-07-07,Madagascar,DR Congo,Madagascar
2000-06-29,Netherlands,Italy,Italy
2023-07-09,United States,Canada,United States
2005-02-27,Costa Rica,Honduras,Costa Rica
1991-01-21,Cameroon,Algeria,Cameroon
2003-01-20,Bangladesh,Maldives,Bangladesh
2015-05-27,South Africa,Malawi,Malawi
2023-06-16,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis
2004-08-03,China PR,Iran,China PR
