date,home_team,away_team,winner
1972-05-07,South Korea,Iraq,Iraq
2018-06-03,Zimbabwe,Botswana,Zimbabwe
2004-02-28,Lesotho,Botswana,Botswana
2022-12-18,Argentina,France,Argentina
1998-01-31,Egypt,South Korea,South Korea
2002-11-19,South Africa,Senegal,Senegal
2000-04-30,British Virgin Islands,Antigua and Barbuda,Antigua and Barbuda
2006-07-22,Namibia,Seychelles,Seychelles
2002-02-16,Thailand,North Korea,North Korea
2019-06-07,South Africa,Malawi,South Africa
1993-06-26,Colombia,Uruguay,Colombia
2019-06-27,Brazil,Paraguay,Brazil
2006-04-29,Lesotho,Mozambique,Lesotho
2005-07-24,United States,Panama,United States
2003-12-08,Sudan,Uganda,Uganda
2004-11-20,Zambia,Angola,Angola
2006-02-28,Finland,Kazakhstan,Kazakhstan
2012-06-03,Finland,Latvia,Latvia
2000-06-29,Netherlands,Italy,Italy
2005-02-27,Costa Rica,Honduras,Costa Rica
1986-10-19,Gabon,Angola,Angola
1988-03-31,Germany,Sweden,Sweden
1998-02-27,Burkina Faso,DR Congo,DR Congo
2016-06-03,Bosnia and Herzegovina,Denmark,Bosnia and Herzegovina
2012-06-27,Portugal,Spain,Spain
2017-06-09,Kárpátalja,Ellan Vannin,Kárpátalja
1998-02-21,Ivory Coast,Egypt,Egypt
2018-03-22,Thailand,Gabon,Thailand
1975-07-13,Morocco,Ghana,Morocco
1997-06-22,Ecuador,Mexico,Mexico
1973-07-26,Malaysia,Kuwait,Malaysia
1980-12-31,Hong Kong,China PR,China PR
1989-12-16,Malawi,Uganda,Uganda
1983-04-22,Egypt,Congo,Egypt
1988-12-17,China PR,Iran,Iran
2004-12-03,Finland,Oman,Oman
1987-12-13,Malawi,Zimbabwe,Zimbabwe
1995-01-13,Mexico,Nigeria,Mexico
2002-01-26,Canada,Martinique,Canada
2007-07-21,Japan,Australia,Japan
1999-08-28,Namibia,Eswatini,Namibia
2004-12-03,Bahrain,Latvia,Bahrain
1990-05-18,Zimbabwe,Eswatini,Zimbabwe
2000-02-19,United States,Colombia,Colombia
1996-06-22,England,Spain,England
1985-08-25,Mali,Guinea,Guinea
1982-05-15,Thailand,Singapore,Thailand
2022-11-16,Latvia,Estonia,Latvia
2022-06-13,Australia,Peru,Australia
1982-11-27,Uganda,Kenya,Kenya
2019-06-06,South Ossetia,Chameria,South Ossetia
2001-12-18,Ethiopia,Burundi,Ethiopia
2016-06-03,Vietnam,Hong Kong,Vietnam
1985-04-16,Mozambique,Malawi,Mozambique
1984-12-16,Iran,Kuwait,Kuwait
1998-06-30,Argentina,England,Argentina
2000-06-04,France,Japan,France
2011-07-17,Brazil,Paraguay,Paraguay
2018-06-03,South Africa,Madagascar,Madagascar
2021-07-06,Italy,Spain,Italy
2004-02-11,Tunisia,Nigeria,Tunisia
1979-05-22,Argentina,Netherlands,Argentina
2021-07-06,Guatemala,Guadeloupe,Guadeloupe
1973-07-28,Myanmar,South Korea,Myanmar
1995-07-16,Paraguay,Colombia,Colombia
2019-03-23,Oman,Singapore,Oman
1993-05-27,Bolivia,Paraguay,Bolivia
2006-02-04,Cameroon,Ivory Coast,Ivory Coast
2018-06-03,Andorra,Cape Verde,Cape Verde
2021-07-02,Switzerland,Spain,Spain
2000-05-11,Senegal,Mali,Senegal
2017-02-01,Burkina Faso,Egypt,Egypt
2019-01-20,Jordan,Vietnam,Vietnam
2022-03-25,Tajikistan,Uganda,Uganda
1983-04-24,Mauritius,Ethiopia,Ethiopia
2021-12-11,Morocco,Algeria,Algeria
2015-01-23,Japan,United Arab Emirates,United Arab Emirates
1977-03-22,Argentina,Iran,Argentina
2004-07-30,Uzbekistan,Bahrain,Bahrain
