date,home_team,away_team,winner
2021-07-02,Peru,Paraguay,Peru
2003-03-22,Mozambique,Lesotho,Mozambique
2004-06-24,Portugal,England,Portugal
1995-07-17,Brazil,Argentina,Brazil
1984-03-14,Algeria,Cameroon,Cameroon
2003-03-07,Benin,Niger,Benin
2004-10-22,Nigeria,Ecuador,Ecuador
2014-06-05,Padania,Abkhazia,Padania
2021-07-06,Trinidad and Tobago,French Guiana,Trinidad and Tobago
1996-01-28,Gabon,Tunisia,Tunisia
1992-11-25,Uganda,Zambia,Uganda
1986-06-22,Spain,Belgium,Belgium
2016-06-05,Abkhazia,Panjab,Abkhazia
2023-06-16,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis
1991-01-21,Cameroon,Algeria,Cameroon
1998-09-05,Indonesia,Thailand,Indonesia
1985-10-11,Kenya,Uganda,Kenya
1972-05-19,Thailand,Cambodia,Thailand
2001-02-11,Eswatini,Zambia,Eswatini
1974-10-09,Syria,Morocco,Morocco
1995-12-06,Ethiopia,Zanzibar,Zanzibar
1973-07-28,Myanmar,South Korea,Myanmar
1997-10-22,Cuba,Cameroon,Cuba
2015-07-25,United States,Panama,Panama
2017-06-09,Padania,Abkhazia,Padania
2012-06-03,Finland,Latvia,Latvia
1999-07-10,Mexico,Peru,Mexico
2004-12-03,Finland,Oman,Oman
2017-07-07,Tanzania,Lesotho,Tanzania
2000-07-14,Libya,Chad,Libya
2016-06-02,Iraqi Kurdistan,Padania,Padania
2003-12-08,Sudan,Uganda,Uganda
1976-12-22,South Korea,Malaysia,Malaysia
2018-06-09,Tibet,United Koreans in Japan,United Koreans in Japan
1996-04-28,Barbados,Jamaica,Jamaica
2007-04-29,Mozambique,Zimbabwe,Mozambique
2016-07-02,Germany,Italy,Germany
2021-07-11,England,Italy,Italy
2004-06-23,Jordan,Syria,Syria
1991-01-23,Ivory Coast,Cameroon,Ivory Coast
2007-07-10,Uruguay,Brazil,Brazil
1999-08-07,Rwanda,Burundi,Rwanda
1973-07-26,Malaysia,Kuwait,Malaysia
2020-10-08,Bosnia and Herzegovina,Northern Ireland,Northern Ireland
1988-05-28,Canada,Greece,Canada
2006-06-03,Northern Cyprus,Zanzibar,Northern Cyprus
2003-02-04,Uruguay,Iran,Uruguay
1988-10-16,Eswatini,Tanzania,Eswatini
2015-06-26,Argentina,Colombia,Argentina
1984-12-08,Kenya,Somalia,Kenya
2002-10-26,Kenya,Uganda,Kenya
2022-03-29,Kazakhstan,Moldova,Kazakhstan
2019-06-02,South Africa,Botswana,Botswana
2003-12-08,Kenya,Rwanda,Rwanda
1983-12-15,Ivory Coast,Mali,Ivory Coast
1993-07-01,Colombia,Argentina,Argentina
2005-12-10,Zanzibar,Uganda,Zanzibar
2022-03-25,Tajikistan,Uganda,Uganda
2004-12-03,Bahrain,Latvia,Bahrain
2004-08-03,China PR,Iran,China PR
2016-06-01,United Koreans in Japan,Northern Cyprus,Northern Cyprus
2002-10-23,Kenya,South Africa,Kenya
2006-02-28,Finland,Kazakhstan,Kazakhstan
1998-02-21,Ivory Coast,Egypt,Egypt
2018-06-03,Zimbabwe,Botswana,Zimbabwe
1995-07-17,United States,Mexico,United States
2015-01-23,Iran,Iraq,Iraq
1988-05-05,Mali,Senegal,Mali
2001-08-18,Zambia,Angola,Angola
1984-06-24,Denmark,Spain,Spain
2004-12-24,Qatar,Oman,Qatar
1998-11-18,Guatemala,Mexico,Guatemala
1993-02-24,Argentina,Denmark,Argentina
2019-01-21,Australia,Uzbekistan,Australia
2022-11-16,Lithuania,Iceland,Iceland
1999-07-13,Uruguay,Chile,Uruguay
1993-05-30,Jamaica,Martinique,Martinique
2013-06-30,Uruguay,Italy,Italy
1992-09-15,Syria,Egypt,Egypt
2021-07-06,Argentina,Colombia,Argentina
2006-06-26,Switzerland,Ukraine,Ukraine
2004-02-11,Tunisia,Nigeria,Tunisia
2003-03-27,Tunisia,Ghana,Tunisia
2012-02-05,Gabon,Mali,Mali
2014-06-28,Brazil,Chile,Brazil
1992-01-26,Ghana,Ivory Coast,Ivory Coast
2000-02-12,South Africa,Tunisia,South Africa
