date,home_team,away_team,team,scorer,minute,own_goal,penalty
2020-10-09,Brazil,Bolivia,Brazil,Philippe Coutinho,73.0,False,False
2005-07-10,Mexico,Guatemala,Mexico,Jared Borgetti,5.0,False,False
1961-03-29,Costa Rica,Curaçao,Costa Rica,Manrique Quesada,89.0,False,False
1998-09-06,Hungary,Portugal,Portugal,Rui Costa,84.0,False,False
1979-09-05,Sweden,France,Sweden,Rutger Backe,24.0,False,False
2021-06-03,Peru,Colombia,Colombia,Yerry Mina,40.0,False,False
1969-04-16,Greece,Romania,Greece,Giorgos Sideris,51.0,False,False
2015-03-29,Albania,Armenia,Armenia,Mërgim Mavraj,4.0,True,False
1993-05-02,Guinea,Zimbabwe,Guinea,Fodé Camara,80.0,False,False
1961-11-26,South Korea,Yugoslavia,Yugoslavia,Milan Galić,27.0,False,False
2021-06-07,Uzbekistan,Singapore,Uzbekistan,Odil Ahmedov,50.0,False,False
2010-09-03,San Marino,Netherlands,Netherlands,Klaas-Jan Huntelaar,66.0,False,False
2016-10-07,Hungary,Switzerland,Switzerland,Valentin Stocker,89.0,False,False
1970-06-14,Mexico,Italy,Mexico,José Luis González Dávila,13.0,False,False
1997-12-12,Saudi Arabia,Brazil,Brazil,Romário,73.0,False,False
1983-08-10,Ecuador,Argentina,Argentina,Jorge Burruchaga,51.0,False,False
2001-08-25,China PR,United Arab Emirates,China PR,Qi Hong,19.0,False,False
2003-06-11,Faroe Islands,Germany,Germany,Miroslav Klose,89.0,False,False
1924-11-01,Chile,Paraguay,Paraguay,Gerardo Rivas,52.0,False,False
1985-09-25,Luxembourg,Bulgaria,Bulgaria,Kostadin Kostadinov,26.0,False,False
2019-10-10,South Korea,Sri Lanka,South Korea,Kwon Chang-hoon,76.0,False,False
1985-11-10,Israel,New Zealand,Israel,Nissim Cohen,67.0,False,False
1990-12-19,Malta,Netherlands,Netherlands,Marco van Basten,9.0,False,False
1995-07-14,Argentina,United States,United States,Alexi Lalas,31.0,False,False
1936-12-30,Argentina,Chile,Argentina,Francisco Varallo,30.0,False,False
1924-10-19,Uruguay,Chile,Uruguay,Pedro Petrone,40.0,False,False
2009-09-09,Liechtenstein,Finland,Liechtenstein,Michele Polverino,75.0,False,False
2015-10-09,North Macedonia,Ukraine,Ukraine,Artem Kravets,87.0,False,False
1977-11-18,Iran,Hong Kong,Iran,Ghafour Jahani,35.0,False,False
1993-06-22,United States,Venezuela,United States,Alexi Lalas,37.0,False,False
1981-04-29,Yugoslavia,Greece,Yugoslavia,Zlatko Vujović,56.0,False,False
2001-03-24,Bulgaria,Iceland,Bulgaria,Krassimir Chomakov,36.0,False,False
2016-03-24,Chile,Argentina,Argentina,Ángel Di María,20.0,False,False
2009-06-21,Italy,Brazil,Brazil,Luís Fabiano,37.0,False,False
2001-06-08,Vanuatu,Solomon Islands,Vanuatu,Richard Iwai,48.0,False,False
1996-12-21,Costa Rica,Trinidad and Tobago,Trinidad and Tobago,Jerren Nixon,7.0,False,False
1964-06-17,Denmark,Russia,Russia,Valentin Ivanov,87.0,False,False
2010-09-07,Sweden,San Marino,Sweden,Zlatan Ibrahimović,77.0,False,False
1983-05-15,Malta,Spain,Spain,Rafael Gordillo,84.0,False,False
1997-09-07,Scotland,Belarus,Scotland,David Hopkin,54.0,False,False
2000-06-12,Germany,Romania,Romania,Viorel Moldovan,5.0,False,False
1965-08-07,Colombia,Chile,Colombia,Antonio Rada,87.0,False,False
2016-10-11,Norway,San Marino,Norway,Davide Simoncini,12.0,True,False
2019-09-10,Malawi,Botswana,Malawi,Gerald Phiri Jr.,81.0,False,True
2013-03-22,Netherlands,Estonia,Netherlands,Rafael van der Vaart,47.0,False,False
2001-04-29,Cambodia,Indonesia,Indonesia,Bambang Pamungkas,87.0,False,False
2000-10-08,Argentina,Uruguay,Uruguay,Roberto Ayala,49.0,True,False
2000-06-19,Australia,Cook Islands,Australia,Clayton Zane,82.0,False,False
2021-06-04,Suriname,Bermuda,Suriname,Nigel Hasselbaink,37.0,False,False
2007-10-13,Slovakia,San Marino,Slovakia,Stanislav Šesták,32.0,False,False
2016-06-18,Argentina,Venezuela,Argentina,Gonzalo Higuaín,8.0,False,False
1942-01-21,Brazil,Peru,Peru,Teodoro Fernández,73.0,False,False
2011-07-02,Turks and Caicos Islands,Bahamas,Bahamas,Nesley Jean,61.0,False,False
1994-10-09,Latvia,Portugal,Latvia,Jevgeņijs Miļevskis,87.0,False,False
2021-06-08,Haiti,Nicaragua,Haiti,Derrick Etienne,63.0,False,False
2014-10-14,San Marino,Switzerland,Switzerland,Xherdan Shaqiri,79.0,False,False
2001-05-06,Maldives,Indonesia,Indonesia,Ismed Sofyan,50.0,False,False
1983-08-21,Bolivia,Peru,Bolivia,Erwin Romero,65.0,False,False
2009-04-01,United States,Trinidad and Tobago,United States,Jozy Altidore,89.0,False,False
1942-01-21,Brazil,Peru,Brazil,Pedro Amorim,43.0,False,False
1986-10-29,Switzerland,Portugal,Switzerland,Georges Bregy,6.0,False,False
1992-10-09,Algeria,Burundi,Algeria,Mourad Meziane,70.0,False,False
2019-10-10,Belgium,San Marino,Belgium,Cristian Brolli,35.0,True,False
2019-07-06,Argentina,Chile,Chile,Arturo Vidal,59.0,False,True
1956-09-01,Hong Kong,Israel,Israel,Nahum Stelmach,69.0,False,False
1994-03-28,Egypt,Gabon,Egypt,Bashir Abdel Samad,55.0,False,False
2014-10-09,England,San Marino,England,Danny Welbeck,49.0,False,False
2010-10-08,Armenia,Slovakia,Slovakia,Vladimír Weiss,37.0,False,False
2015-11-17,Malaysia,United Arab Emirates,United Arab Emirates,Omar Abdulrahman,22.0,False,False
2001-02-28,Belgium,San Marino,Belgium,Bob Peeters,88.0,False,False
2008-09-06,Gambia,Liberia,Gambia,Njogu Demba-Nyrén,80.0,False,False
1997-01-12,Bolivia,Ecuador,Bolivia,Jaime Moreno,7.0,False,False
2015-10-09,Gambia,Namibia,Gambia,Abdou Jammeh,78.0,False,False
2008-09-06,Georgia,Republic of Ireland,Georgia,Levan Kenia,90.0,False,False
2021-06-24,Bolivia,Uruguay,Uruguay,Jairo Quinteros,40.0,True,False
1949-09-18,Israel,Yugoslavia,Yugoslavia,Marko Valok,19.0,False,False
2009-09-05,Slovakia,Czech Republic,Slovakia,Marek Hamšík,73.0,False,True
2008-03-26,Uzbekistan,Saudi Arabia,Uzbekistan,Server Djeparov,67.0,False,True
1950-07-09,Spain,Uruguay,Uruguay,Alcides Ghiggia,29.0,False,False
1971-05-12,Albania,Poland,Poland,Jan Banaś,6.0,False,False
2005-06-18,Zambia,Mali,Zambia,Linos Chalwe,26.0,False,False
2014-06-23,Australia,Spain,Spain,Juan Mata,82.0,False,False
2008-06-22,Lebanon,Singapore,Singapore,Ramez Dayoub,72.0,True,False
1993-04-04,El Salvador,Mexico,Mexico,Alberto García Aspe,75.0,False,False
1945-01-24,Chile,Bolivia,Chile,Guillermo Clavero,13.0,False,False
2013-07-13,United States,Cuba,Cuba,José Ciprian Alfonso,36.0,False,False
1997-10-12,Peru,Chile,Chile,Marcelo Salas,82.0,False,False
2008-06-15,Jamaica,Bahamas,Jamaica,Luton Shelton,66.0,False,False
1997-10-05,Mexico,El Salvador,Mexico,Luís Roberto Alves,48.0,False,False
2014-10-10,Netherlands,Kazakhstan,Netherlands,Klaas-Jan Huntelaar,62.0,False,False
2021-09-05,San Marino,Poland,Poland,Adam Buksa,90.0,False,False
1957-09-25,Wales,German DR,Wales,Des Palmer,44.0,False,False
1997-03-31,Saudi Arabia,Taiwan,Saudi Arabia,Sami Al-Jaber,16.0,False,False
2001-02-28,Portugal,Andorra,Portugal,Luís Figo,49.0,False,False
1995-06-07,San Marino,Russia,Russia,Igor Dobrovolski,20.0,False,True
2019-09-10,Rwanda,Seychelles,Rwanda,Meddie Kagere,27.0,False,False
2013-03-26,Ecuador,Paraguay,Ecuador,Jefferson Montero,74.0,False,False
1983-10-26,Germany,Turkey,Germany,Rudi Völler,44.0,False,False
2023-07-09,United States,Canada,United States,Brandon Vázquez,88.0,False,False
2005-06-08,Saudi Arabia,Uzbekistan,Saudi Arabia,Sami Al-Jaber,60.0,False,False
2011-01-17,Jordan,Syria,Jordan,Odai Al-Saify,59.0,False,False
2011-10-11,Sweden,Netherlands,Sweden,Ola Toivonen,53.0,False,False
1984-11-14,Turkey,England,England,Tony Woodcock,43.0,False,False
1953-10-04,Republic of Ireland,France,France,Léon Glovacki,23.0,False,False
2019-10-13,Cyprus,Russia,Russia,Denis Cheryshev,90.0,False,False
2012-10-12,Luxembourg,Israel,Israel,Tomer Hemed,27.0,False,False
2021-03-25,Scotland,Austria,Scotland,Grant Hanley,71.0,False,False
2004-08-06,Iran,Bahrain,Iran,Javad Nekounam,9.0,False,False
2011-09-02,Cyprus,Portugal,Portugal,Hugo Almeida,84.0,False,False
1946-01-26,Argentina,Chile,Argentina,Ángel Labruna,60.0,False,False
1930-07-27,Uruguay,Yugoslavia,Uruguay,Pedro Cea,72.0,False,False
2000-02-23,Colombia,Peru,Colombia,Marcial Salazar,39.0,True,False
2007-07-08,Mexico,Paraguay,Mexico,Omar Bravo,90.0,False,False
1987-04-01,Austria,Spain,Austria,Manfred Linzmaier,38.0,False,False
1997-10-11,North Macedonia,Lithuania,Lithuania,Orestas Buitkus,81.0,False,False
2016-03-29,Maldives,Bhutan,Maldives,Asadhulla Abdulla,37.0,False,False
2016-06-11,United States,Paraguay,United States,Clint Dempsey,27.0,False,False
2013-09-06,Switzerland,Iceland,Iceland,Jóhann Berg Guðmundsson,3.0,False,False
1957-06-05,Belgium,Iceland,Belgium,Henri Coppens,44.0,False,True
1997-06-04,Kyrgyzstan,Iran,Iran,Ali Mousavi,82.0,False,False
2012-06-05,Tahiti,Vanuatu,Vanuatu,Robert Tasso,90.0,False,False
1997-04-22,United Arab Emirates,Bahrain,United Arab Emirates,Ahmed H. Saeed,14.0,False,False
2021-06-19,Germany,Portugal,Germany,Robin Gosens,60.0,False,False
1997-06-08,Hungary,Norway,Hungary,Zoltán Kovács,22.0,False,False
1997-07-05,Chile,Colombia,Chile,Marcelo Salas,16.0,False,False
1999-10-09,Croatia,Serbia,Croatia,Mario Stanić,47.0,False,False
2007-06-06,Luxembourg,Albania,Albania,Edmond Kapllani,72.0,False,False
2011-11-15,Burundi,Lesotho,Lesotho,Bokang Mothoana,22.0,False,False
1971-05-12,England,Malta,England,Martin Chivers,47.0,False,False
1970-06-02,England,Romania,England,Geoff Hurst,65.0,False,False
1996-12-16,South Korea,Iran,Iran,Ali Daei,89.0,False,True
2019-11-14,Iraq,Iran,Iraq,Alaa Abbas,90.0,False,False
2017-07-14,Costa Rica,French Guiana,Costa Rica,David Ramírez,83.0,False,False
1992-10-14,Russia,Iceland,Russia,Sergei Yuran,65.0,False,False
2004-02-28,Aruba,Suriname,Aruba,Maurice Escalona,89.0,False,False
2011-10-11,France,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Džeko,40.0,False,False
2009-09-09,Germany,Azerbaijan,Germany,Miroslav Klose,55.0,False,False
2017-07-15,Panama,Martinique,Panama,Gabriel Torres,67.0,False,False
1962-12-02,Italy,Turkey,Italy,Alberto Orlando,29.0,False,False
1993-06-15,Ecuador,Venezuela,Ecuador,Ángel Fernández,81.0,False,False
2012-09-07,Liechtenstein,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Džeko,46.0,False,False
2016-10-08,Ivory Coast,Mali,Ivory Coast,Salif Coulibaly,31.0,True,False
1997-09-07,Scotland,Belarus,Scotland,Kevin Gallacher,7.0,False,False
1999-09-08,Georgia,Latvia,Latvia,Imants Bleidelis,62.0,False,False
1992-11-02,China PR,Qatar,Qatar,Khalifa Al-Sulaiti,20.0,False,False
1999-07-24,New Zealand,United States,New Zealand,Chris Zoricich,90.0,False,False
2021-03-28,Denmark,Moldova,Denmark,Mikkel Damsgaard,22.0,False,False
2003-04-02,Czech Republic,Austria,Czech Republic,Jan Koller,62.0,False,False
2012-06-09,Malawi,Nigeria,Nigeria,Azubuike Egwuekwe,89.0,False,False
2001-09-01,Spain,Austria,Spain,Gaizka Mendieta,90.0,False,False
1965-08-22,Chile,Ecuador,Chile,Alberto Fouilloux,74.0,False,False
2021-09-06,Djibouti,Niger,Niger,Amadou Sabo,68.0,False,False
2007-06-13,Cuba,Honduras,Honduras,Carlos Pavón,53.0,False,False
1995-09-03,Croatia,Estonia,Croatia,Davor Šuker,58.0,False,False
2001-06-06,Hungary,Georgia,Hungary,Attila Korsós,62.0,False,False
1987-12-09,Netherlands,Cyprus,Netherlands,John Bosman,43.0,False,False
2011-10-07,Armenia,North Macedonia,North Macedonia,Vanče Šikov,86.0,False,False
2019-09-05,Indonesia,Malaysia,Malaysia,Mohamadou Sumareh,90.0,False,False
2006-06-12,Italy,Ghana,Italy,Andrea Pirlo,40.0,False,False
2017-10-07,Sweden,Luxembourg,Sweden,Marcus Berg,18.0,False,False
1985-10-27,Chile,Peru,Chile,Jorge Orlando Aravena Plaza,64.0,False,False
1963-03-31,Switzerland,Netherlands,Switzerland,Anton Allemann,37.0,False,False
1991-09-11,Luxembourg,Belgium,Belgium,Enzo Scifo,25.0,False,False
2009-10-11,Algeria,Rwanda,Rwanda,Patrick Mutesa Mafisango,19.0,False,False
2007-09-08,Moldova,Norway,Norway,Steffen Iversen,49.0,False,False
1992-09-09,Republic of Ireland,Latvia,Republic of Ireland,John Aldridge,86.0,False,False
2017-10-07,Costa Rica,Honduras,Costa Rica,Kendall Waston,90.0,False,False
1997-06-15,Fiji,Papua New Guinea,Papua New Guinea,Wesley Waiwai,68.0,False,False
1938-06-12,France,Italy,Italy,Silvio Piola,72.0,False,False
2021-09-01,Turkey,Montenegro,Montenegro,Adam Marušić,40.0,False,False
2004-01-29,Cameroon,Zimbabwe,Zimbabwe,Peter Ndlovu,47.0,False,True
1979-10-31,Bulgaria,Denmark,Bulgaria,Chavdar Tsvetkov,88.0,False,False
2012-09-11,Serbia,Wales,Serbia,Branislav Ivanović,80.0,False,False
1961-11-04,Italy,Israel,Italy,Omar Sivori,65.0,False,False
2022-02-05,Cameroon,Burkina Faso,Burkina Faso,Djibril Ouattara,49.0,False,False
1994-04-02,Egypt,Mali,Mali,Soumaila Traoré,64.0,False,False
1999-08-01,Brazil,Saudi Arabia,Brazil,Zé Roberto,33.0,False,False
2000-09-02,Iceland,Denmark,Denmark,Jon Dahl Tomasson,26.0,False,False
1998-10-14,Luxembourg,England,England,Alan Shearer,38.0,False,True
2001-04-25,Netherlands,Cyprus,Netherlands,Patrick Kluivert,44.0,False,False
2021-03-30,Turkey,Latvia,Turkey,Hakan Çalhanoğlu,33.0,False,False
1976-03-06,Morocco,Nigeria,Nigeria,Sam Ojebode,81.0,False,False
2002-09-07,Belgium,Bulgaria,Bulgaria,Zoran Janković,17.0,False,False
2010-10-12,Belgium,Austria,Belgium,Nicolas Lombaerts,89.0,False,False
1973-03-21,Iraq,Indonesia,Iraq,Douglas Aziz,22.0,False,True
2016-06-26,France,Republic of Ireland,France,Antoine Griezmann,58.0,False,False
2022-11-27,Spain,Germany,Germany,Niclas Füllkrug,83.0,False,False
2014-06-22,South Korea,Algeria,South Korea,Koo Ja-cheol,72.0,False,False
2019-10-15,Tajikistan,Japan,Japan,Takuma Asano,82.0,False,False
2001-06-02,Turkey,Azerbaijan,Turkey,Hakan Şükür,34.0,False,False
2001-03-28,Slovakia,Azerbaijan,Slovakia,Ľubomír Meszároš,57.0,False,False
2008-09-10,Bosnia and Herzegovina,Estonia,Bosnia and Herzegovina,Zvjezdan Misimović,30.0,False,True
2001-06-11,Cook Islands,Tahiti,Tahiti,Tony Senechal,2.0,False,False
1997-04-02,Uruguay,Venezuela,Uruguay,Paolo Montero,46.0,False,False
2005-06-25,Germany,Brazil,Germany,Michael Ballack,45.0,False,True
2009-07-11,United States,Haiti,United States,Davy Arnaud,6.0,False,False
1975-06-09,Norway,Yugoslavia,Yugoslavia,Vladislav Bogićević,13.0,False,False
1993-07-18,Venezuela,Bolivia,Bolivia,Luis Ramallo,61.0,False,False
2021-03-28,Georgia,Spain,Spain,Ferran Torres,56.0,False,False
2021-10-09,Kazakhstan,Bosnia and Herzegovina,Bosnia and Herzegovina,Smail Prevljak,25.0,False,False
2019-10-15,Mongolia,Kyrgyzstan,Mongolia,Norjmoogiin Tsedenbal,57.0,False,True
2015-06-19,Mexico,Ecuador,Ecuador,Enner Valencia,57.0,False,False
1985-05-04,Hong Kong,Macau,Hong Kong,Lau Wing Yip,8.0,False,False
2008-06-01,Egypt,DR Congo,Egypt,Ahmed Eid Abdel Malek,80.0,False,False
2010-06-23,Australia,Serbia,Australia,Brett Holman,73.0,False,False
1996-01-27,Zambia,Egypt,Zambia,Dennis Lota,76.0,False,False
1960-11-20,Greece,Germany,Germany,Albert Brülls,31.0,False,False
1949-05-08,Chile,Uruguay,Chile,Raimundo Infante,83.0,False,True
1984-10-17,Scotland,Iceland,Scotland,Charlie Nicholas,74.0,False,False
2012-10-12,Antigua and Barbuda,United States,United States,Eddie Johnson,90.0,False,False
1986-06-22,Argentina,England,England,Gary Lineker,81.0,False,False
1983-09-08,Chile,Venezuela,Chile,Oscar Arriaza,22.0,False,False
2007-11-21,Denmark,Iceland,Denmark,Thomas Kahlenberg,59.0,False,False
2016-10-08,Scotland,Lithuania,Lithuania,Fedor Černych,59.0,False,False
2009-11-14,Egypt,Algeria,Egypt,Emad Moteab,90.0,False,False
2004-08-07,China PR,Japan,Japan,Keiji Tamada,90.0,False,False
2011-09-06,United States Virgin Islands,Antigua and Barbuda,Antigua and Barbuda,Peter Byers,38.0,False,True
1958-06-08,France,Paraguay,France,Jean Vincent,83.0,False,False
2021-07-20,Panama,Grenada,Panama,José Luis Rodríguez,27.0,False,False
1995-08-16,Azerbaijan,Slovakia,Slovakia,Tibor Jančula,60.0,False,False
2004-11-17,Thailand,Yemen,Yemen,Saleh Al-Shehri,69.0,False,False
2003-03-29,Georgia,Republic of Ireland,Republic of Ireland,Gary Doherty,84.0,False,False
2016-10-09,Zambia,Nigeria,Nigeria,Kelechi Iheanacho,43.0,False,False
2007-10-21,China PR,Myanmar,China PR,Du Zhenyu,22.0,False,False
2021-03-31,Ukraine,Kazakhstan,Kazakhstan,Serikzhan Muzhikov,59.0,False,False
2021-03-24,Finland,Bosnia and Herzegovina,Bosnia and Herzegovina,Miralem Pjanić,55.0,False,False
1998-06-29,Netherlands,Serbia,Netherlands,Dennis Bergkamp,38.0,False,False
2001-03-04,Hong Kong,Palestine,Hong Kong,Chan Ho Man,72.0,False,False
2005-07-08,Guatemala,Jamaica,Guatemala,Carlos Ruiz,11.0,False,True
2013-03-22,Bosnia and Herzegovina,Greece,Bosnia and Herzegovina,Vedad Ibišević,36.0,False,False
1996-09-23,Saint Vincent and the Grenadines,Jamaica,Jamaica,Paul Young,41.0,False,False
2015-09-06,Latvia,Czech Republic,Latvia,Artūrs Zjuzins,73.0,False,False
1984-06-19,Denmark,Belgium,Denmark,Kenneth Brylle Larsen,60.0,False,False
1964-06-20,Hungary,Denmark,Denmark,Carl Bertelsen,82.0,False,False
1979-09-12,Iceland,German DR,German DR,Joachim Streich,80.0,False,False
1989-07-30,Venezuela,Brazil,Brazil,Bebeto,81.0,False,False
2000-04-08,Malawi,Kenya,Malawi,Dereck Somanje,53.0,False,False
1978-06-06,Argentina,France,Argentina,Daniel Passarella,45.0,False,True
2011-11-11,Equatorial Guinea,Madagascar,Equatorial Guinea,Juvenal Edjogo-Owono,20.0,False,True
2004-11-16,Iraq,Palestine,Palestine,Imad Zatara,71.0,False,False
1975-08-20,Peru,Chile,Peru,Juan Carlos Oblitas,32.0,False,False
1992-09-09,Norway,San Marino,Norway,Gøran Sørloth,15.0,False,False
2012-11-14,Oman,Japan,Oman,Ahmed Mubarak Al-Mahaijri,77.0,False,False
2016-10-09,Serbia,Austria,Serbia,Aleksandar Mitrović,6.0,False,False
2005-09-07,Czech Republic,Armenia,Czech Republic,Milan Baroš,58.0,False,False
2007-07-10,Malaysia,China PR,China PR,Shao Jiayi,36.0,False,False
1983-11-16,Republic of Ireland,Malta,Republic of Ireland,Gerry Daly,86.0,False,False
2005-06-04,Cape Verde,South Africa,South Africa,Delron Buckley,12.0,False,False
2012-01-29,Libya,Senegal,Senegal,Deme N'Diaye,10.0,False,False
2005-11-12,Uruguay,Australia,Uruguay,Darío Rodríguez,37.0,False,False
1996-01-12,Brazil,Canada,Brazil,André Luiz Moreira,3.0,False,False
2018-06-15,Portugal,Spain,Portugal,Cristiano Ronaldo,44.0,False,False
2007-10-15,Macau,Thailand,Thailand,Datsakorn Thonglao,48.0,False,False
1995-04-25,Poland,Israel,Poland,Wojciech Kowalczyk,55.0,False,False
1957-03-28,Argentina,Chile,Argentina,Oreste Corbatta,83.0,False,True
2010-09-03,Faroe Islands,Serbia,Serbia,Nikola Žigić,90.0,False,False
2020-11-17,Ecuador,Colombia,Ecuador,Robert Arboleda,7.0,False,False
1986-11-12,Greece,Hungary,Greece,Tasos Mitropoulos,38.0,False,False
2011-03-29,Netherlands,Hungary,Hungary,Zoltán Gera,50.0,False,False
2004-06-06,Chile,Brazil,Chile,Reinaldo Navia,89.0,False,True
1991-11-13,Cyprus,Russia,Russia,Andrei Kanchelskis,81.0,False,False
2019-10-15,Switzerland,Republic of Ireland,Switzerland,Edimilson Fernandes,90.0,False,False
2002-07-08,Australia,New Caledonia,Australia,Joel Porter,86.0,False,False
2004-05-15,Solomon Islands,New Caledonia,Solomon Islands,George Suri,42.0,False,False
2021-07-02,Peru,Paraguay,Peru,Gustavo Gómez,21.0,True,False
1922-10-05,Chile,Paraguay,Paraguay,Julio Ramírez,5.0,False,False
2014-10-12,Belarus,Slovakia,Slovakia,Marek Hamšík,84.0,False,False
1989-01-22,Tunisia,Morocco,Tunisia,Lasaad Abdelli,37.0,False,False
1950-07-02,Italy,Paraguay,Italy,Riccardo Carapellese,12.0,False,False
2003-11-30,Tajikistan,Bangladesh,Tajikistan,Yusuf Rabiev,83.0,False,False
1987-04-01,Wales,Finland,Wales,David Phillips,63.0,False,False
1968-11-06,Scotland,Austria,Austria,August Starek,3.0,False,False
2022-03-29,Morocco,DR Congo,Morocco,Azzedine Ounahi,21.0,False,False
1961-04-23,Curaçao,Costa Rica,Curaçao,Edwin Miliano Loran,34.0,False,False
1926-10-16,Argentina,Bolivia,Argentina,Gabino Sosa,31.0,False,False
1997-09-19,Qatar,Kuwait,Kuwait,Bashar Abdulaziz,88.0,False,False
1963-12-10,Denmark,Luxembourg,Denmark,Ole Madsen,70.0,False,False
2004-02-04,Nigeria,Benin,Nigeria,Garba Lawal,35.0,False,False
1981-06-24,Sweden,Portugal,Sweden,Jan Svensson,67.0,False,False
2008-06-08,Benin,Uganda,Benin,Oumar Tchomogo,17.0,False,False
1988-12-02,Qatar,Iran,Iran,Karim Bavi,6.0,False,False
1998-02-04,Trinidad and Tobago,Mexico,Mexico,Luis Hernández,63.0,False,False
1961-10-25,England,Portugal,England,Ray Pointer,10.0,False,False
1975-06-04,Greece,Malta,Greece,Kostas Iosifidis,47.0,False,False
2001-10-06,Netherlands,Andorra,Netherlands,Pierre van Hooijdonk,3.0,False,True
1954-03-14,Japan,South Korea,South Korea,Chung Nam-sik,20.0,False,False
2000-09-03,Costa Rica,Barbados,Costa Rica,Rolando Fonseca,40.0,False,False
2008-06-02,Japan,Oman,Japan,Yoshito Ōkubo,22.0,False,False
1965-02-07,Cuba,Jamaica,Cuba,Nicolás Martínez,6.0,False,False
2004-06-06,Colombia,Uruguay,Colombia,Sergio Herrera,86.0,False,False
2012-06-10,Republic of Ireland,Croatia,Croatia,Mario Mandžukić,3.0,False,False
2004-11-17,Indonesia,Turkmenistan,Indonesia,Ilham Jaya Kesuma,59.0,False,False
2019-11-18,Spain,Romania,Spain,Adrian Rus,45.0,True,False
1930-07-21,Uruguay,Romania,Uruguay,Héctor Scarone,26.0,False,False
1996-06-02,Mauritius,DR Congo,DR Congo,Elos Elonga-Ekakia,82.0,False,False
2005-02-09,Morocco,Kenya,Morocco,Jaouad Zairi,90.0,False,False
2021-09-06,Ivory Coast,Cameroon,Cameroon,Moumi Ngamaleu,61.0,False,True
1971-11-14,Romania,Czechoslovakia,Romania,Emerich Dembrovschi,26.0,False,False
2014-10-12,Belarus,Slovakia,Belarus,Timofei Kalachev,79.0,False,False
2010-06-13,Algeria,Slovenia,Slovenia,Robert Koren,79.0,False,False
1982-06-23,Brazil,New Zealand,Brazil,Paulo Roberto Falcão,64.0,False,False
2015-09-04,Saint Vincent and the Grenadines,Aruba,Saint Vincent and the Grenadines,Tevin Slater,51.0,False,False
2019-06-22,Guyana,Panama,Panama,Gabriel Torres,86.0,False,False
1957-05-15,Denmark,England,England,Tommy Taylor,71.0,False,False
2021-11-11,China PR,Oman,Oman,Amjad Al-Harthi,75.0,False,False
1981-04-29,Germany,Austria,Germany,Klaus Fischer,36.0,False,False
2003-11-16,Benin,Madagascar,Benin,Oumar Tchomogo,90.0,False,False
1922-10-15,Brazil,Argentina,Brazil,Neco,42.0,False,False
2021-09-07,Sudan,Guinea-Bissau,Guinea-Bissau,Piqueti,39.0,False,False
2013-09-06,Serbia,Croatia,Serbia,Aleksandar Mitrović,66.0,False,False
1957-03-31,Peru,Brazil,Brazil,Didi,73.0,False,True
2002-09-07,Faroe Islands,Scotland,Scotland,Barry Ferguson,83.0,False,False
1967-06-18,Czechoslovakia,Turkey,Czechoslovakia,Jozef Adamec,70.0,False,False
2011-07-03,Macau,Vietnam,Vietnam,Nguyễn Quang Hải,23.0,False,False
